topic,specialty,guideline_bodies,practice_guideline_mcqs,latest_guideline_year
"Cerebral amyloid angiopathy (CAA): microbleeds, lobar haemorrhages, diagnostic criteria","Neurology","",4,2025
"Thyroid disease and cardiovascular haemodynamics: AF in thyrotoxicosis, hypothyroid HF","Cardiology","NICE 2021",4,
"Symptomatic bradycardia: atropine, temporary pacing, transcutaneous pacing","","",4,
"New-onset seizure in adults: diagnostic workup, EEG patterns, imaging","Neurology","",4,2022
"MODY: HNF1A GCK HNF4A subtypes - genetic testing and treatment implications","Endocrinology & Diabetes","",4,
"Dementia with Lewy Bodies (DLB): core features, neuroleptic sensitivity management","Neurology","",4,2024
"Non-small cell lung cancer immunotherapy","Oncology","ESMO Precision Medicine Working Group; ASCO-SNO-ASTRO; NCCN",4,
"Antiepileptic drug toxicity: cutaneous reactions, cognitive effects, interactions","Neurology","NICE 2016, amended 2020",4,2023
"Psychogenic non-epileptic seizures (PNES): video-EEG differentiation, management","Neurology","",4,2019
"Focal vs generalised epilepsy syndromes: anticonvulsant choice optimization","Neurology","ILAE 2022; ILAE 2017; ILAE Neurophysiology Task Force 2017",4,2022
"CADASIL: genetic features, MRI findings, clinical course","Neurology","",4,2023
"Secondary stroke prevention antiplatelet anticoagulation","Neurology","NICE 2021; NICE 2014; NICE 2006, amended 2014",8,2024
"Sudden Unexpected Death in Epilepsy (SUDEP): risk factors, patient counselling","Neurology","NICE [2]",4,2017
"Inclusion Body Myositis (IBM): asymmetric weakness, rimmed vacuoles, treatment resistance","Neurology","",4,2005
"Cerebral venous sinus thrombosis (CVST): risk factors, anticoagulation choices","Neurology","",4,2019
"Diabetic amyotrophy: lumbosacral radiculoplexus neuropathy management","Neurology","",4,
"Intracerebral haemorrhage: blood pressure targets, reversal of anticoagulants","Neurology","NICE (electronic decision support); NICE (cell salvage)",4,2024
"Drug-resistant epilepsy: epilepsy surgery workup, vagus nerve stimulation (VNS)","Neurology","ILAE 2012 [5]; NICE [1]; Neurologia (Barcelona, Spain) / ILAE 2012",4,2025
"Moyamoya disease: clinical presentations, surgical revascularisation indications","Neurology","",4,2023
"Aortic stenosis TAVR","","",4,
"Seizures in pregnancy: teratogenicity of AEDs, folate dosing, levels","Neurology","NICE [1]; NICE [4]",4,2025
"Antimicrobial resistance burden","","NICE 2008; NICE 2019; NICE",4,
"Stable coronary disease invasive strategy","","",4,
"Subarachnoid haemorrhage (SAH): vasospasm monitoring, nimodipine protocol, triple-H therapy","Neurology","NICE [1]; NICE [2]; NICE [5]",4,2019
"Absence seizures and juvenile myoclonic epilepsy (JME) therapeutic profiles","Neurology","",4,2024
"Obesity pharmacotherapy","Endocrinology & Diabetes","",4,
"Acute Disseminated Encephalomyelitis (ADEM): paediatric predominance, MRI characteristics","Neurology","",4,
"Neuromyelitis Optica Spectrum Disorder (NMOSD): AQP4-IgG, long extensive transverse myelitis","Neurology","NICE 2014; NICE 2022",4,
"Acute MS relapse: high-dose methylprednisolone vs plasma exchange","Neurology","NICE 2014, Clinical trial LOW; NICE 2014",4,
"Central Nervous System Vasculitis (PACNS): digital subtraction angiography, cyclophosphamide regimens","Neurology","",4,2022
"Corticobasal degeneration: asymmetric alien limb phenomenon, tau pathology","Neurology","",4,2002
"Normal pressure hydrocephalus (NPH): tap test, ventriculoperitoneal shunt selection","Neurology","",4,2004
"Progressive Supranuclear Palsy (PSP): hummingbird sign, vertical gaze palsy","Neurology","",4,2012
"Dystonia classification: focal (blepharospasm, torticollis) and botulinum toxin therapy","Neurology","NICE 2012 (CG145, guideline 3); NICE 2012 (CG145, guideline 5); NICE 2012 (CG145, guideline 6)",4,
"Cluster headache: high-flow oxygen, triptan rescue, verapamil prophylaxis","Neurology","",4,2023
"Ischaemic optic neuropathy: arteritic (GCA) vs non- arteritic (NAION) differentiation","Neurology","",2,2026
