pack,topic,kind,doi,guidelines,papers,abstract_chars,oa_words,complete
clinical-topics-batch-1,"Achalasia endoscopic and surgical therapy",paper,paper,10.1097/sla.0b013e31818e43ab,0,4,3111,0,true
clinical-topics-batch-1,"Acute bacterial meningitis adjunctive dexamethasone",paper,10.1016/s1474-4422(10)70023-5,0,2,1417,6776,true
clinical-topics-batch-1,"Acute bacterial meningitis empiric therapy and dexamethasone",paper,10.1016/s1474-4422(10)70023-5,0,2,1417,6776,true
clinical-topics-batch-1,"Acute liver failure transplant referral",guideline,guideline,10.1016/j.jhep.2016.12.003,2,4,933,0,true
clinical-topics-batch-1,"Acute myeloid leukemia venetoclax azacitidine",paper,paper,10.1080/16078454.2023.2198098,0,4,2142,0,true
clinical-topics-batch-1,"alcohol use disorder naltrexone and acamprosate",guideline,10.1176/appi.ajp.2017.17050509,1,2,300,0,true
clinical-topics-batch-1,"alcohol withdrawal benzodiazepine treatment",guideline,10.1097/ADM.0000000000000668,1,2,340,0,true
clinical-topics-batch-1,"alport syndrome and inherited collagen nephropathies",guideline,10.1007/s00467-020-04495-2,1,2,905,0,true
clinical-topics-batch-1,"alzheimer s disease anti amyloid immunotherapy",guideline,10.14283/jpad.2023.30,1,2,2432,0,true
clinical-topics-batch-1,"anca associated vasculitis renal disease",guideline,10.1016/j.kint.2023.12.007,1,2,691,0,true
clinical-topics-batch-1,"angiotensin ii for catecholamine refractory vasodilatory shock",guideline,paper,10.1097/CCM.0000000000005337,1,4,1444,0,true
clinical-topics-batch-1,"antipsychotic metabolic monitoring",guideline,10.2337/diacare.27.2.596,1,2,395,0,true
clinical-topics-batch-1,"antithrombotic therapy after tavr",guideline,10.1161/CIR.0000000000000923,1,2,353,0,true
clinical-topics-batch-1,"benzodiazepine deprescribing in anxiety and insomnia",guideline,,1,1,3500,9134,true
clinical-topics-batch-1,"biologic therapy pre treatment infection screening",guideline,10.1002/acr.24596,1,2,1355,0,true
clinical-topics-batch-2,"bk polyomavirus nephropathy in kidney transplant",guideline,10.1111/ajt.15394,1,2,1563,0,true
clinical-topics-batch-2,"borderline personality disorder dialectical behavior therapy",paper,10.1002/14651858.CD012955.pub2,0,2,4000,0,true
clinical-topics-batch-2,"c3 glomerulopathy and complement inhibition",guideline,10.1016/j.kint.2021.05.021,1,2,866,0,true
clinical-topics-batch-2,"cabg versus pci multivessel coronary disease",guideline,10.1161/CIR.0000000000001038,1,2,324,0,true
clinical-topics-batch-2,"car t therapy large b cell lymphoma",guideline,10.1056/NEJMoa2116596,1,2,2483,0,true
clinical-topics-batch-2,"cardiac implantable electronic device infection",guideline,10.1093/europace/euaa010,1,2,1626,0,true
clinical-topics-batch-2,"cardiac myosin activator therapy in hfref",guideline,10.1161/CIR.0000000000001063,2,4,1956,0,true
clinical-topics-batch-2,"cardiac resynchronization therapy in heart failure",guideline,10.1093/eurheartj/ehab364,1,2,332,0,true
clinical-topics-batch-2,"cardiogenic shock intra aortic balloon pump and revascularization",guideline,paper,10.1056/NEJMoa1208410,1,4,2176,0,true
clinical-topics-batch-2,"cardiorenal syndrome ultrafiltration",guideline,10.1056/NEJMoa1210357,1,2,2247,0,true
clinical-topics-batch-3,"catatonia benzodiazepines and ect",guideline,10.3389/fpsyt.2014.00181,1,2,826,11196,true
clinical-topics-batch-3,"cerebral venous thrombosis anticoagulation",guideline,10.1177/2396987317719364,1,2,1917,0,true
clinical-topics-batch-3,"chemotherapy induced nausea antiemetic prophylaxis",guideline,10.1200/JCO.20.01296,1,2,1944,0,true
clinical-topics-batch-3,"choledocholithiasis and acute cholangitis endoscopy",guideline,10.1016/j.gie.2019.04.232,1,2,1990,0,true
clinical-topics-batch-3,"chronic cough evaluation and empiric therapy",guideline,10.1183/13993003.01136-2019,1,2,1632,0,true
clinical-topics-batch-3,"chronic lymphocytic leukaemia chemoimmunotherapy with fcr",guideline,10.1016/j.annonc.2020.09.019,1,2,370,0,true
clinical-topics-batch-3,"chronic lymphocytic leukaemia ibrutinib and venetoclax based targeted therapy",guideline,10.1016/j.annonc.2020.09.019,1,2,382,0,true
clinical-topics-batch-3,"chronic myeloid leukaemia imatinib and second generation tki therapy",guideline,10.1038/s41375-020-0776-2,1,2,1426,15395,true
clinical-topics-batch-3,"common variable immunodeficiency diagnosis and infection prevention",guideline,10.1016/j.jaci.2015.04.049,1,2,1009,0,true
clinical-topics-batch-3,"community acquired pneumonia",guideline,10.1164/rccm.201908-1581ST,1,2,1048,17729,true
clinical-topics-batch-4,"complement deficiency infection susceptibility",guideline,10.1007/s10875-020-00754-x,1,1,282,0,true
clinical-topics-batch-4,"complicated intra abdominal infection source control and duration",guideline,10.1056/NEJMoa1411162,1,2,1828,0,true
clinical-topics-batch-4,"continuous glucose monitoring in diabetes",guideline,10.2337/dc23-S007,1,2,822,0,true
clinical-topics-batch-4,"covid 19 critical care dexamethasone and immunomodulation",guideline,10.1056/NEJMoa2021436,1,2,1370,6573,true
clinical-topics-batch-4,"cushing syndrome medical therapy",guideline,10.1016/j.lanepe.2021.100274,1,2,1119,0,true
clinical-topics-batch-4,"cytomegalovirus prevention in transplant recipients",guideline,10.1097/TP.0000000000002192,1,2,1019,0,true
clinical-topics-batch-4,"diabetic retinopathy anti vegf therapy",guideline,10.1016/j.ophtha.2019.09.025,1,2,328,0,true
clinical-topics-batch-4,"diffuse large b cell lymphoma car t cell therapy in relapsed refractory disease",guideline,10.1056/NEJMoa2116596,1,2,2483,0,true
clinical-topics-batch-4,"dual antiplatelet therapy duration after pci",guideline,10.1161/CIR.0000000000001038,1,2,360,0,true
clinical-topics-batch-4,"dupilumab il 4 il 13 inhibitor biologic therapy",guideline,10.1111/jdv.18346,1,2,1209,19025,true
clinical-topics-batch-4,"durable lvad therapy for advanced heart failure",guideline,10.1161/CIR.0000000000001063,1,2,1666,0,true
clinical-topics-batch-4,"ebola virus disease therapeutics and supportive care",guideline,,1,1,314,0,true
clinical-topics-batch-4,"esophageal cancer neoadjuvant chemoradiation",guideline,10.1016/S1470-2045(15)00040-6,1,2,3560,0,true
clinical-topics-batch-4,"gerd refractory symptoms and antireflux surgery",guideline,10.14309/ajg.0000000000001538,1,2,1177,0,true
clinical-topics-batch-4,"glycemic control in critical illness",guideline,10.1097/CCM.0000000000005337,1,2,320,0,true
clinical-topics-batch-4,"graves disease antithyroid and radioiodine therapy",guideline,10.1089/thy.2016.0229,1,2,2367,0,true
clinical-topics-batch-4,"haemophilia a factor viii prophylaxis and emicizumab for inhibitor patients",guideline,10.1111/hae.14046,1,2,353,0,true
clinical-topics-batch-4,"head and neck squamous cell chemoradiation",guideline,10.1200/JCO.2016.71.1275,1,2,1928,0,true
clinical-topics-batch-4,"healthcare associated mrsa decolonization and prevention",guideline,10.1017/ice.2023.103,1,2,1314,15158,true
clinical-topics-batch-4,"heart failure remote hemodynamic monitoring",guideline,10.1161/CIR.0000000000001063,1,2,1666,0,true
clinical-topics-batch-5,"hemodialysis adequacy and frequency",guideline,10.1053/j.ajkd.2015.07.015,1,2,1003,0,true
clinical-topics-batch-5,"herpes simplex encephalitis antiviral therapy",guideline,10.1086/589747,1,2,565,0,true
clinical-topics-batch-5,"hiv pre exposure prophylaxis",guideline,,1,1,304,0,true
clinical-topics-batch-5,"home noninvasive ventilation for copd hypercapnia",guideline,10.1183/13993003.01003-2019,1,2,1871,0,true
clinical-topics-batch-5,"hospital acquired and ventilator associated pneumonia",guideline,10.1093/cid/ciw315,1,2,585,0,true
clinical-topics-batch-5,"hybrid closed loop insulin delivery in type 1 diabetes",guideline,10.2337/dc23-S007,1,2,822,0,true
clinical-topics-batch-5,"hyperkalemia in ckd and heart failure",guideline,10.1093/eurheartj/ehy222,1,1,334,0,true
clinical-topics-batch-5,"hypersensitivity pneumonitis diagnosis and antigen avoidance",guideline,10.1164/rccm.202005-2032ST,1,2,1755,17821,true
clinical-topics-batch-5,"icosapent ethyl residual cardiovascular risk",guideline,10.1056/NEJMoa1812792,1,2,1813,0,true
clinical-topics-batch-5,"igg4 related disease diagnosis and b cell depletion",guideline,10.1002/art.39132,1,2,332,0,true
clinical-topics-batch-5,"intensive glycemic targets in type 2 diabetes",guideline,10.2337/dc23-S006,1,2,822,0,true
clinical-topics-batch-5,"invasive aspergillosis antifungal therapy",guideline,10.1093/cid/ciw326,1,2,442,0,true
clinical-topics-batch-5,"invasive candidiasis and candidemia antifungal therapy",guideline,10.1093/cid/civ933,1,2,442,0,true
clinical-topics-batch-5,"kidney transplant antibody mediated rejection",guideline,10.1097/TP.0000000000003020,1,1,373,0,true
clinical-topics-batch-5,"latex and perioperative allergy evaluation",guideline,10.1016/j.anai.2020.08.017,1,1,349,0,true
clinical-topics-batch-5,"lithium monitoring and toxicity prevention",guideline,10.1111/bdi.12609,1,2,2753,17668,true
clinical-topics-batch-5,"lyme disease diagnosis and treatment",guideline,10.1093/cid/ciaa1215,1,2,1124,0,true
clinical-topics-batch-5,"major depressive disorder pharmacotherapy",guideline,10.1177/0706743716659417,1,2,1934,0,true
clinical-topics-batch-5,"menopausal hormone therapy risks and benefits",guideline,10.1097/GME.0000000000002028,1,2,2131,0,true
clinical-topics-batch-5,"metformin and glycemic legacy in type 2 diabetes",guideline,10.1056/NEJMoa0806470,1,2,2164,0,true
clinical-topics-batch-5,"mitral regurgitation teer mitraclip",guideline,10.1161/CIR.0000000000000923,1,2,373,0,true
clinical-topics-batch-5,"mog antibody associated disease diagnosis and relapse prevention",guideline,10.1016/S1474-4422(22)00431-8,1,2,1317,0,true
clinical-topics-batch-5,"myelofibrosis jak inhibition with ruxolitinib",guideline,,2,2,3500,0,true
clinical-topics-batch-5,"neuromyelitis optica spectrum disorder biologic therapy",guideline,10.1212/WNL.0000000000001818,1,1,395,0,true
clinical-topics-batch-5,"neuropathic pain pharmacotherapy",guideline,10.1016/S1474-4422(14)70251-0,1,2,3154,0,true
clinical-topics-batch-6,"noninfectious uveitis biologic therapy",guideline,10.1056/NEJMoa1509852,1,2,1868,0,true
clinical-topics-batch-6,"obsessive compulsive disorder ssri and erp",guideline,10.1176/appi.ajp.2007.07081216,1,2,1732,0,true
clinical-topics-batch-6,"opioid use disorder buprenorphine and methadone",guideline,10.1097/ADM.0000000000000633,1,2,325,0,true
clinical-topics-batch-6,"outpatient parenteral antimicrobial therapy program safety",guideline,10.1093/cid/ciy745,1,2,610,0,true
clinical-topics-batch-6,"panic disorder pharmacotherapy and cbt",guideline,10.1186/1471-244X-14-S1-S1,1,2,1589,19136,true
clinical-topics-batch-6,"parkinson disease motor complications",guideline,10.1002/mds.27372,1,2,1976,17105,true
clinical-topics-batch-6,"penicillin allergy evaluation and delabeling",guideline,10.1001/jama.2018.19283,1,2,2146,0,true
clinical-topics-batch-6,"perioperative bridging anticoagulation",guideline,10.1056/NEJMoa1506961,1,2,1952,0,true
clinical-topics-batch-6,"physiology guided pci fractional flow reserve",guideline,10.1161/CIR.0000000000001038,1,2,327,0,true
clinical-topics-batch-6,"polycythemia vera hematocrit targets aspirin and cardiovascular risk reduction",guideline,10.1056/NEJMoa1208500,1,2,1622,7492,true
clinical-topics-batch-6,"polymyalgia rheumatica relapse prevention",guideline,10.1136/annrheumdis-2015-207492,1,2,1456,0,true
clinical-topics-batch-6,"primary biliary cholangitis pharmacotherapy",guideline,10.1002/hep.30145,1,2,327,0,true
clinical-topics-batch-6,"primary immunodeficiency immunoglobulin replacement",guideline,10.1016/j.jaci.2017.04.029,1,1,344,0,true
