topic,normalized_topic
"Acromegaly somatostatin analog therapy","acromegaly somatostatin analog therapy"
"Acute abdomen and common surgical emergencies","acute abdomen and common surgical emergencies"
"Acute and chronic pain assessment and opioid safety","acute and chronic pain assessment and opioid safety"
"Acute asthma and COPD exacerbations","acute asthma and copd exacerbations"
"Acute confusion, agitation, and capacity","acute confusion agitation and capacity"
"Acute decompensated heart failure decongestion","acute decompensated heart failure decongestion"
"Acute liver failure transplant referral","acute liver failure transplant referral"
"Acute necrotising pancreatitis and step-up management approach","acute necrotising pancreatitis and step up management approach"
"Acute pancreatitis fluid and nutrition strategy","acute pancreatitis fluid and nutrition strategy"
"Acute psychosis: assessment, management and antipsychotic therapy","acute psychosis assessment management and antipsychotic therapy"
"Acute red eye: differential diagnosis and emergency management","acute red eye differential diagnosis and emergency management"
"Adult-onset Still disease IL-1 and IL-6 blockade","adult onset still disease il 1 and il 6 blockade"
"Alcohol use disorder, Wernicke encephalopathy and alcohol-related liver disease","alcohol use disorder wernicke encephalopathy and alcohol related liver disease"
"Alcohol-associated hepatitis corticosteroids","alcohol associated hepatitis corticosteroids"
"Allergic rhinitis intranasal steroids and immunotherapy","allergic rhinitis intranasal steroids and immunotherapy"
"AML Transformed from MPN","aml transformed from mpn"
"Anaemia","anaemia"
"Analgesia strategies","analgesia strategies"
"Aneurysmal subarachnoid hemorrhage management","aneurysmal subarachnoid hemorrhage management"
"Anti-CD20 Therapy in Rheumatology","anti cd20 therapy in rheumatology"
"Antibiotic stewardship for common infections","antibiotic stewardship for common infections"
"Anticoagulation reversal and peri-procedural management","anticoagulation reversal and peri procedural management"
"antidepressant sequential treatment steps depressed outpatients outcomes","antidepressant sequential treatment steps depressed outpatients outcomes"
"antifungals in ICU","antifungals in icu"
"Anxiety disorders and panic disorder: diagnosis and management","anxiety disorders and panic disorder diagnosis and management"
"apixaban versus warfarin atrial fibrillation","apixaban versus warfarin atrial fibrillation"
"ARDS epidemiology and global burden (LUNG SAFE study)","ards epidemiology and global burden lung safe study"
"ARDS guidelines","ards guidelines"
"ARDS prone positioning","ards prone positioning"
"aspirin cardiovascular events bleeding healthy elderly primary prevention","aspirin cardiovascular events bleeding healthy elderly primary prevention"
"Aspirin-exacerbated respiratory disease management","aspirin exacerbated respiratory disease management"
"asthma biologics","asthma biologics"
"Atopic dermatitis: diagnosis, stepwise treatment and biologics","atopic dermatitis diagnosis stepwise treatment and biologics"
"Atrial fibrillation and common arrhythmias","atrial fibrillation and common arrhythmias"
"atrial fibrillation diagnosis and management guideline","atrial fibrillation diagnosis and management guideline"
"Autosomal dominant polycystic kidney disease tolvaptan","autosomal dominant polycystic kidney disease tolvaptan"
"bariatric surgery versus medical therapy type 2 diabetes STAMPEDE","bariatric surgery versus medical therapy type 2 diabetes stampede"
"BK Virus Nephropathy Post-Transplant","bk virus nephropathy post transplant"
"Bone and joint infection oral step-down therapy","bone and joint infection oral step down therapy"
"Bone Marrow Fibrosis Grading","bone marrow fibrosis grading"
"Bone metastases denosumab and zoledronic acid","bone metastases denosumab and zoledronic acid"
"Borderline personality disorder dialectical behavior therapy","borderline personality disorder dialectical behavior therapy"
"Bronchiectasis and recurrent chest infections","bronchiectasis and recurrent chest infections"
"Bronchiolitis and viral wheeze","bronchiolitis and viral wheeze"
"Bronchiolitis: assessment, risk stratification and management","bronchiolitis assessment risk stratification and management"
"CABG versus PCI multivessel coronary disease","cabg versus pci multivessel coronary disease"
"canagliflozin renal outcomes type 2 diabetes nephropathy","canagliflozin renal outcomes type 2 diabetes nephropathy"
"canakinumab anti-inflammatory therapy atherosclerotic disease","canakinumab anti inflammatory therapy atherosclerotic disease"
"CAR-T cell therapy refractory large B-cell lymphoma axicabtagene","car t cell therapy refractory large b cell lymphoma axicabtagene"
"Cardiac myosin activator therapy in HFrEF","cardiac myosin activator therapy in hfref"
"cardiac resynchronization therapy heart failure COMPANION trial","cardiac resynchronization therapy heart failure companion trial"
"Carpal tunnel syndrome: diagnosis and management","carpal tunnel syndrome diagnosis and management"
"Catatonia benzodiazepines and ECT","catatonia benzodiazepines and ect"
"Cellulitis, erysipelas, and mimics","cellulitis erysipelas and mimics"
"Chest pain assessment in the ED","chest pain assessment in the ed"
"Chikungunya and Zika Arthropathy","chikungunya and zika arthropathy"
"Childhood asthma and wheeze phenotypes","childhood asthma and wheeze phenotypes"
"Chronic hepatitis B antiviral therapy","chronic hepatitis b antiviral therapy"
"Chronic lymphocytic leukaemia: chemoimmunotherapy with FCR","chronic lymphocytic leukaemia chemoimmunotherapy with fcr"
"Chronic spontaneous urticaria omalizumab","chronic spontaneous urticaria omalizumab"
"Cirrhosis and portal hypertension","cirrhosis and portal hypertension"
"Cirrhosis ascites and spontaneous bacterial peritonitis","cirrhosis ascites and spontaneous bacterial peritonitis"
"CKD referral thresholds","ckd referral thresholds"
"clopidogrel aspirin acute minor ischemic stroke CHANCE","clopidogrel aspirin acute minor ischemic stroke chance"
"Clozapine for treatment-resistant schizophrenia","clozapine for treatment resistant schizophrenia"
"Collapse, syncope, and cardiac arrest algorithms","collapse syncope and cardiac arrest algorithms"
"Colorectal cancer screening and FIT strategy","colorectal cancer screening and fit strategy"
"Common variable immunodeficiency diagnosis and infection prevention","common variable immunodeficiency diagnosis and infection prevention"
"community acquired pneumonia diagnosis empiric antibiotic management guideline adult","community acquired pneumonia diagnosis empiric antibiotic management guideline adult"
"Community- and hospital-acquired pneumonia","community and hospital acquired pneumonia"
"Compartment syndrome: diagnosis and emergency management","compartment syndrome diagnosis and emergency management"
"Complete revascularization after STEMI","complete revascularization after stemi"
"Conservative versus liberal fluid strategy in ARDS (FACTT trial)","conservative versus liberal fluid strategy in ards factt trial"
"Contact dermatitis: irritant vs allergic, patch testing and management","contact dermatitis irritant vs allergic patch testing and management"
"continuous positive airway pressure obstructive sleep apnea cardiovascular outcomes SAVE","continuous positive airway pressure obstructive sleep apnea cardiovascular outcomes save"
"COPD management","copd management"
"Coronary CT angiography for stable chest pain","coronary ct angiography for stable chest pain"
"covid","covid"
"CRISPR-Cas9 gene editing sickle cell disease beta-thalassemia","crispr cas9 gene editing sickle cell disease beta thalassemia"
"Croup: assessment, severity scoring and management","croup assessment severity scoring and management"
"CT head and CT pulmonary angiography: common acute findings","ct head and ct pulmonary angiography common acute findings"
