topic,normalized_topic
"achalasia endoscopic and surgical therapy","achalasia endoscopic and surgical therapy"
"acute bacterial meningitis adjunctive dexamethasone","acute bacterial meningitis adjunctive dexamethasone"
"acute bacterial meningitis empiric therapy and dexamethasone","acute bacterial meningitis empiric therapy and dexamethasone"
"acute liver failure transplant referral","acute liver failure transplant referral"
"acute myeloid leukemia venetoclax azacitidine","acute myeloid leukemia venetoclax azacitidine"
"alcohol use disorder naltrexone and acamprosate","alcohol use disorder naltrexone and acamprosate"
"alcohol withdrawal benzodiazepine treatment","alcohol withdrawal benzodiazepine treatment"
"alport syndrome and inherited collagen nephropathies","alport syndrome and inherited collagen nephropathies"
"alzheimer s disease anti amyloid immunotherapy","alzheimer s disease anti amyloid immunotherapy"
"anca associated vasculitis renal disease","anca associated vasculitis renal disease"
"angiotensin ii for catecholamine refractory vasodilatory shock","angiotensin ii for catecholamine refractory vasodilatory shock"
"antipsychotic metabolic monitoring","antipsychotic metabolic monitoring"
"antithrombotic therapy after tavr","antithrombotic therapy after tavr"
"benzodiazepine deprescribing in anxiety and insomnia","benzodiazepine deprescribing in anxiety and insomnia"
"biologic therapy pre treatment infection screening","biologic therapy pre treatment infection screening"
"bk polyomavirus nephropathy in kidney transplant","bk polyomavirus nephropathy in kidney transplant"
"borderline personality disorder dialectical behavior therapy","borderline personality disorder dialectical behavior therapy"
"c3 glomerulopathy and complement inhibition","c3 glomerulopathy and complement inhibition"
"cabg versus pci multivessel coronary disease","cabg versus pci multivessel coronary disease"
"car t therapy large b cell lymphoma","car t therapy large b cell lymphoma"
"cardiac implantable electronic device infection","cardiac implantable electronic device infection"
"cardiac myosin activator therapy in hfref","cardiac myosin activator therapy in hfref"
"cardiac resynchronization therapy in heart failure","cardiac resynchronization therapy in heart failure"
"cardiogenic shock intra aortic balloon pump and revascularization","cardiogenic shock intra aortic balloon pump and revascularization"
"cardiorenal syndrome ultrafiltration","cardiorenal syndrome ultrafiltration"
"catatonia benzodiazepines and ect","catatonia benzodiazepines and ect"
"cerebral venous thrombosis anticoagulation","cerebral venous thrombosis anticoagulation"
"chemotherapy induced nausea antiemetic prophylaxis","chemotherapy induced nausea antiemetic prophylaxis"
"choledocholithiasis and acute cholangitis endoscopy","choledocholithiasis and acute cholangitis endoscopy"
"chronic cough evaluation and empiric therapy","chronic cough evaluation and empiric therapy"
